# FRECHET
# genspc	taxon	samples	   llmt	 median	   rrmt	entropy	          a1         mu1      theta1      kappa1         mu2      theta2      kappa2          a2         mu3      theta3      kappa3       rRMSE        AIC         BIC
amanthie	 F_Ba	 78992	     16	   56.4	    397	-1.7114	  8.5786e-01  2.7960e+01  2.4961e+01  4.4038e+00 -2.2799e+01  9.5644e+01  2.2535e+00  3.3316e-04  6.2228e+05  6.2235e+05
amarhypo	 P_Eu	 99043	     20	  367.3	   8981	-3.1660	  3.2245e-01  3.1571e+01  5.7245e+01  3.9725e+00 -1.1541e+02  3.4143e+02  2.0077e+00  2.5372e-01 -4.4015e+02  1.2732e+03  2.2517e+00  4.4614e-05  1.4435e+06  1.4436e+06
ambotric	 P_Am	 82359	     21	  398.4	  47089	-3.3895	  3.0530e-01  4.6275e+01  5.7446e+01  1.9780e+00 -3.6168e+01  2.5585e+02  1.2619e+00  2.3292e-01 -1.5341e+02  9.8806e+02  1.1862e+00  3.8723e-05  1.2852e+06  1.2854e+06
amnilign	 F_As	 29924	     16	   55.8	    763	-1.9038	  6.6888e-01  3.1271e+01  1.9660e+01  4.4241e+00 -1.1275e+01  9.0076e+01  1.9451e+00  3.3599e-04  2.6236e+05  2.6241e+05
amorresi	 F_As	 20068	     18	   57.0	    669	-1.8995	  7.3917e-01  3.5466e+01  1.6155e+01  2.9356e+00 -1.8242e+01  1.0770e+02  2.1304e+00  4.0392e-04  1.7554e+05  1.7560e+05
amphquee	 M_Po	 225902	     16	   76.2	   5213	-2.5121	  4.7975e-01  2.6305e+01  2.3056e+01  3.4242e+00 -2.3493e+01  1.7407e+02  1.3631e+00  9.8352e-05  2.6115e+06  2.6116e+06
amyetran	 M_In	 85305	     17	  567.7	  43218	-3.5035	  4.0800e-02  1.2191e+01  6.9765e+01  7.8198e+00 -2.6700e+01  4.8779e+02  1.1715e+00  5.1372e-05  1.3787e+06  1.3788e+06
anancomo	 P_Mo	 124658	     16	  300.9	   9570	-3.1346	  7.1088e-02  7.6463e+00  4.0307e+01  1.1671e+00  5.0580e+01  4.5058e+01  1.9708e+00  3.3986e-01 -1.4221e+02  6.0563e+02  1.7266e+00  4.4971e-05  1.7989e+06  1.7990e+06
anasplat	 M_Av	 166994	     29	 1091.6	 136096	-3.8373	  7.1764e-02  5.4293e+01  4.3062e+01  1.8278e+00 -1.0563e+02  9.5400e+02  1.0524e+00  1.8180e-05  2.9502e+06  2.9502e+06
ancycani	 M_Ne	 156379	     16	   96.4	   3364	-2.6477	  6.7049e-01  4.4806e+01  1.8704e+01  1.2090e+00 -8.3717e+02  1.2768e+03  3.7598e+00  2.0822e-04  1.9134e+06  1.9135e+06
ancyceyl	 M_Ne	 201928	     42	  125.6	  10129	-2.8937	  4.7020e-01  4.1233e+01  1.9323e+01  1.9669e+00 -4.4592e+00  2.0428e+02  1.2652e+00  3.0510e-01 -8.6208e+02  1.9285e+03  2.5115e+00  7.1639e-05  2.6898e+06  2.6899e+06
ancyduod	 M_Ne	 105752	     16	  116.2	   4528	-2.7563	  3.5064e-02 -1.7307e+02  2.1195e+02  1.3512e+01  4.5996e+01  1.8373e+01  1.1094e+00  5.7150e-01 -2.6972e+02  6.2837e+02  2.2909e+00  1.5372e-04  1.3417e+06  1.3418e+06
angicant	 M_Ne	 47798	     16	  176.7	   9824	-3.0084	  1.1431e-01 -1.1103e+02  1.8117e+02  4.2086e+00  4.3421e+01  2.5429e+01  1.2211e+00  4.3179e-01 -2.0409e+02  7.1611e+02  1.7297e+00  9.6140e-05  6.6315e+05  6.6324e+05
angicost	 M_Ne	 40656	     16	  183.5	   7387	-3.0136	  4.4722e-02 -6.1603e+02  6.6031e+02  3.0000e+01  4.4767e+01  3.0707e+01  9.2924e-01  5.6512e-01 -1.2249e+03  1.8675e+03  3.6245e+00  1.1662e-04  5.6842e+05  5.6851e+05
angodean	 O_Eu	 2	    841	 1664.0	     17	-3.2170	  1.0000e+00 -4.0410e+03  5.0688e+03  1.5455e+01  4.9934e-01  3.5722e+01  3.1802e+01
anissimp	 M_Ne	 66373	     16	  225.1	   2214	-2.8318	  1.5132e-01  3.0936e+01  5.4518e+01  1.3527e+00 -1.1319e+02  3.0905e+02  2.6554e+00  1.2277e-04  8.6571e+05  8.6577e+05
anolcaro	 M_Rp	 153034	     22	 1656.2	 136657	-3.9789	  1.1038e-01  7.0805e+01  5.6675e+01  7.7537e-01 -2.1948e+02  1.5690e+03  1.1710e+00  1.8408e-05  2.8047e+06  2.8048e+06
anopalbi	 M_In	 80	     16	  108.0	   7147	-2.7034	  3.5582e-01 -1.8119e+02  2.5528e+02  2.6424e+01 -5.8641e+01  1.9260e+02  1.3403e+00  1.3350e-02  1.0359e+03  1.0525e+03
anopdarl	 M_In	 37365	     17	   88.5	   6369	-2.6812	  5.9728e-01 -2.4179e+01  9.6024e+01  9.5339e+00 -4.8320e+01  2.7092e+02  1.2844e+00  2.3264e-01 -2.4234e+04  2.5820e+04  2.9964e+01  9.4725e-05  4.6124e+05  4.6133e+05
anopgamb	 M_In	 83754	     17	   94.1	  46790	-2.8585	  5.3249e-01 -4.0570e+01  1.1337e+02  1.0918e+01 -1.4924e+01  1.7120e+02  1.2526e+00  2.5396e-01 -3.5375e+02  2.0587e+03  1.2102e+00  6.7496e-05  1.1020e+06  1.1021e+06
anopglab	 M_In	 598	     48	  274.0	  76169	-3.2760	  5.0957e-01  4.6973e+01  1.9108e+01  7.3399e-01 -2.5751e+02  1.0034e+03  1.1183e+00  1.9548e-03  9.1610e+03  9.1917e+03
anopsine	 M_In	 23063	     18	   87.1	  43772	-2.8039	  5.7879e-01  9.8026e+00  6.0011e+01  6.8020e+00 -2.7143e+01  3.1909e+02  1.0420e+00  2.7942e-01 -4.6112e+02  2.6827e+03  1.3322e+00  1.2849e-04  2.9733e+05  2.9742e+05
ansecygn	 M_Av	 176868	     25	 1098.5	 148615	-3.8436	  8.3451e-02  5.5044e+01  4.3633e+01  1.5912e+00 -7.7967e+01  9.4784e+02  1.0303e+00  1.7066e-05  3.1297e+06  3.1298e+06
anthavoc	 F_As	 36067	     16	   66.4	    757	-2.1159	  6.6349e-01  3.7460e+01  2.0049e+01  2.2224e+00 -4.3917e+01  1.2916e+02  2.3283e+00  3.0992e-04  3.5141e+05  3.5147e+05
antrsinu	 F_Ba	 72711	     17	   57.3	    401	-1.6254	  8.9903e-01  1.3133e+01  4.1128e+01  7.8519e+00 -2.8669e+01  1.0798e+02  2.1567e+00  3.2680e-04  5.4401e+05  5.4408e+05
aotunanc	 M_Mm	 193786	     30	 1666.6	 328780	-4.0406	  2.2627e-01  6.4179e+01  7.7339e+01  7.0825e-01 -2.0517e+02  1.7590e+03  9.8804e-01  1.8514e-05  3.6004e+06  3.6005e+06
apalvitt	 M_Av	 108501	     30	  926.1	  37774	-3.6550	  7.8558e-02  6.4208e+01  3.8430e+01  1.2177e+00 -1.8790e+02  9.3208e+02  1.4075e+00  2.8352e-05  1.8259e+06  1.8260e+06
aphaasta	 O_St	 57224	     21	   63.0	   1575	-2.2092	  6.7276e-01  1.3075e-01  5.3029e+01  6.0944e+00 -2.7779e+02  3.5673e+02  9.4063e+00  1.8579e-01 -4.0205e+01  4.2376e+02  2.4842e+00  1.6884e-04  5.8237e+05  5.8247e+05
aphainva	 O_St	 50419	     21	   53.1	    423	-1.6959	  8.7616e-01 -8.7411e+00  5.8108e+01  9.5794e+00 -1.0198e+01  8.6929e+01  1.9848e+00  3.1835e-04  3.9372e+05  3.9378e+05
apiomont	 F_As	 31623	     16	   73.3	    997	-2.1487	  8.6532e-01  3.8700e+01  2.6273e+01  1.6471e+00 -1.1983e+01  8.7024e+01  1.5931e+00  2.2164e-04  3.1289e+05  3.1295e+05
apisdors	 M_In	 64195	     20	  146.3	  82615	-3.0528	  4.4871e-01  5.3672e+00  7.2389e+01  4.9643e+00 -5.9441e+00  2.6962e+02  1.0909e+00  4.3534e-01 -3.0002e+02  2.5366e+03  9.4932e-01  6.1052e-05  9.0268e+05  9.0278e+05
apisflor	 M_In	 64863	     30	  134.4	  79992	-3.0068	  4.7527e-01  6.5390e+00  7.0970e+01  4.8776e+00  2.3735e+00  3.1134e+02  9.2373e-01  4.9392e-01  1.8841e+03  6.2142e+03  1.0524e+00  6.6316e-05  8.9782e+05  8.9792e+05
apismell	 M_In	 141928	     18	  144.0	  79940	-3.0342	  4.5812e-01  5.9513e+00  7.2128e+01  4.8310e+00 -5.9569e+00  2.6922e+02  1.1238e+00  4.2909e-01 -3.0014e+02  2.5365e+03  9.4108e-01  5.2785e-05  1.9829e+06  1.9830e+06
aplakerg	 O_St	 22059	     23	   53.8	    480	-1.4892	  9.2397e-01 -2.4990e+01  7.6202e+01  1.7497e+01 -2.3122e+02  3.0235e+02  1.1528e+01  6.6229e-02  8.5063e+01  2.8111e+02  9.9420e-01  4.6706e-04  1.5118e+05  1.5126e+05
aploprun	 F_As	 23464	     16	   58.8	    711	-1.9275	  6.8239e-01  1.9249e+01  3.4115e+01  5.9215e+00 -3.1768e+02  3.9113e+02  1.0919e+01  2.8213e-01  1.1372e+02  1.4028e+02  1.3023e+00  4.2721e-04  2.0813e+05  2.0822e+05
aplycali	 M_Mo	 97032	     21	 1200.9	  53414	-3.7352	  1.3188e-02 -2.2060e+01  2.1808e+02  1.0791e+00 -2.0695e+01  9.3364e+02  1.3070e+00  2.8693e-05  1.6686e+06  1.6687e+06
aporcary	 F_Ba	 80880	     16	   52.4	    381	-1.5519	  9.0665e-01  1.6442e+01  3.3343e+01  7.3666e+00 -9.6229e+00  7.3776e+01  1.7401e+00  3.4171e-04  5.7796e+05  5.7803e+05
apteaust	 M_Av	 148332	     30	 1160.6	 111828	-3.8386	  7.6903e-02  5.9505e+01  4.3616e+01  1.3197e+00 -1.2757e+02  1.0338e+03  1.1134e+00  1.9334e-05  2.6208e+06  2.6209e+06
aptefors	 M_Av	 144631	     30	 1042.5	  90447	-3.7781	  8.3335e-02  5.4766e+01  4.4439e+01  1.5918e+00 -1.2342e+02  9.4607e+02  1.1419e+00  2.0380e-05  2.5161e+06  2.5161e+06
aquichry	 M_Av	 176824	     30	 1013.9	 108196	-3.7797	  3.3520e-02  3.4168e+01  5.3353e+01  4.6859e+00  5.4713e+01  7.0292e+01  1.0325e+00  1.0705e-01 -9.5325e+01  9.6138e+02  1.0912e+00  1.7858e-05  3.0767e+06  3.0768e+06
aquicoer	 P_Eu	 119001	     16	  180.3	   5167	-2.9322	  3.5929e-01 -2.5369e+01  1.1740e+02  8.1339e+00 -8.8830e+01  2.7688e+02  1.9475e+00  4.1354e-01 -2.2834e+02  9.8312e+02  2.4195e+00  5.5998e-05  1.6070e+06  1.6071e+06
arabhall	 P_Eu	 107891	     16	  102.3	   1694	-2.3925	  5.8853e-01 -1.9350e+01  1.0544e+02  9.3094e+00 -8.5724e+01  2.5992e+02  2.2894e+00  1.2526e-04  1.1885e+06  1.1886e+06
arablyra	 P_Eu	 107660	     16	  101.4	   1855	-2.4275	  5.3071e-01 -3.5309e+01  1.2115e+02  1.1135e+01 -8.4485e+01  2.3161e+02  2.1345e+00  1.2768e-04  1.2034e+06  1.2035e+06
arabthal	 P_Eu	 117272	     18	   99.9	   1141	-2.3221	  6.2489e-01 -5.2892e+01  1.3843e+02  1.2320e+01 -1.2712e+02  3.0335e+02  3.0143e+00  1.8558e-04  1.2535e+06  1.2536e+06
aracdura	 P_Eu	 142897	     28	  188.8	   7045	-2.9064	  3.9641e-01  2.2937e+01  6.8186e+01  4.1005e+00 -9.2583e+01  3.8636e+02  1.6422e+00  5.0388e-05  1.9124e+06  1.9124e+06
armigall	 F_Ba	 138043	     16	   53.5	    497	-1.5584	  8.5547e-01 -6.1887e+01  1.1303e+02  3.0000e+01 -7.0763e+00  6.8598e+01  1.6667e+00  1.4105e-01 -5.5923e+01  2.7562e+02  7.5672e+00  3.5788e-04  9.8890e+05  9.8901e+05
armimell	 F_Ba	 71611	     33	   53.5	    713	-1.5953	  8.2456e-01 -5.8817e+01  1.0972e+02  3.0000e+01  2.1368e+01  3.6445e+01  1.6604e+00  1.2467e-01 -1.5051e+02  3.8557e+02  3.0813e+00  4.7560e-04  5.2478e+05  5.2488e+05
arthbenh	 F_As	 12591	     19	   69.3	    275	-2.0620	  5.1569e-01 -1.1052e+03  1.1828e+03  3.0000e+01 -1.5458e+02  2.1472e+02  2.9999e+01  1.2101e-03  1.1951e+05  1.1956e+05
artholig	 F_As	 24771	     21	   72.2	    540	-1.9611	  9.2343e-01  2.9309e+01  3.6448e+01  2.9775e+00 -4.3783e+01  1.5119e+02  2.0525e+00  3.5456e-04  2.2372e+05  2.2377e+05
artoeleg	 F_Ba	 77163	     16	   58.6	    596	-1.7130	  8.8904e-01  2.6252e+01  2.8805e+01  4.9609e+00 -2.9449e+01  1.2101e+02  1.8725e+00  3.3557e-04  6.0852e+05  6.0859e+05
ascalumb	 M_Ne	 48858	     16	  706.9	   5816	-3.3411	  1.9177e-02 -1.0689e+02  1.8215e+02  3.9089e+00 -5.4891e+02  1.1209e+03  3.0383e+00  7.3046e-05  7.5190e+05  7.5196e+05
ascasuum	 M_Ne	 104671	     16	  725.9	   8311	-3.3495	  4.5371e-01 -2.8555e+03  3.3901e+03  1.2700e+01 -4.4832e+02  1.1069e+03  2.2668e+00  4.1793e-05  1.6153e+06  1.6154e+06
ascoimme	 F_As	 35081	     17	   58.0	   1064	-2.0043	  6.7480e-01  3.1465e+01  1.9947e+01  3.1681e+00  1.5672e-01  8.1594e+01  1.6229e+00  2.9474e-04  3.2377e+05  3.2383e+05
asconigr	 F_As	 24099	     21	   58.8	    537	-1.8865	  8.2730e-01  3.7820e+01  1.5580e+01  2.1071e+00 -2.0648e+01  1.0793e+02  2.2215e+00  3.1437e-04  2.0936e+05  2.0942e+05
ascorube	 F_As	 2646	     16	  109.8	   8289	-2.6957	  6.2506e-01 -2.1195e-01  9.5219e+01  1.0814e+00  2.7478e+01  5.5824e+01  1.8997e+00  1.6662e-03  3.2852e+04  3.2893e+04
ascosarc	 F_As	 21551	     21	   56.5	   1347	-1.9030	  7.0101e-01  3.1601e+01  1.9453e+01  4.0500e+00 -1.4634e+02  2.2904e+02  6.9657e+00  2.5039e-01 -1.1300e+02  3.7474e+02  1.6326e+00  4.2483e-04  1.8882e+05  1.8891e+05
ashbgoss	 F_As	 200	     40	   61.8	    763	-2.0345	  6.8709e-01  2.1248e+01  3.2221e+01  5.9216e+00 -6.5783e+01  1.9867e+02  2.8916e+00  6.9819e-03  1.8865e+03  1.9096e+03
aspeacid	 F_As	 32438	     16	   62.3	    813	-1.9748	  8.2189e-01  2.9338e+01  2.6926e+01  2.9261e+00 -2.5011e+01  1.1032e+02  1.7596e+00  2.9571e-04  2.9497e+05  2.9503e+05
aspeacul	 F_As	 26591	     16	   66.1	   1322	-2.0792	  7.7104e-01  3.3538e+01  2.5006e+01  2.3746e+00 -8.2901e+00  9.0785e+01  1.5618e+00  2.2708e-01  6.0992e+02  2.1394e+03  4.7319e-01  2.5195e-04  2.5461e+05  2.5470e+05
aspebras	 F_As	 32666	     16	   62.6	    812	-1.9643	  8.3959e-01  2.7662e+01  2.8893e+01  3.0539e+00 -2.2909e+01  1.1062e+02  1.7113e+00  2.3795e-04  2.9549e+05  2.9554e+05
aspecamp	 F_As	 24403	     16	   62.8	    941	-1.9840	  8.1489e-01  3.2784e+01  2.4107e+01  2.5160e+00  1.6240e+00  7.3671e+01  1.4204e+00  3.7790e-04  2.2296e+05  2.2302e+05
aspecarb	 F_As	 30958	     16	   61.2	    880	-1.9753	  8.1565e-01  2.4644e+01  3.0158e+01  3.3334e+00 -1.5247e+01  1.1016e+02  1.7167e+00  2.9493e-04  2.8161e+05  2.8167e+05
aspeclav	 F_As	 18711	     16	   63.1	    489	-1.8954	  8.7877e-01  2.3234e+01  3.4444e+01  3.6480e+00 -5.2616e+01  1.4148e+02  2.3707e+00  5.7587e-04  1.6331e+05  1.6337e+05
aspeflav	 F_As	 28332	     29	   64.3	   1723	-2.1561	  5.9869e-01  9.0974e+00  4.6463e+01  6.6711e+00 -5.8229e+00  9.8185e+01  1.5265e+00  2.8709e-04  2.8112e+05  2.8118e+05
aspefumi	 F_As	 18681	     16	   60.5	    606	-1.9445	  7.4875e-01  1.7132e+01  3.7970e+01  4.8492e+00 -2.6622e+01  9.8060e+01  2.0959e+00  6.1739e-04  1.6725e+05  1.6731e+05
aspeglau	 F_As	 22319	     17	   57.9	    774	-1.8126	  8.2956e-01  2.2978e+01  3.0688e+01  4.7467e+00  9.5224e-01  7.5782e+01  1.5132e+00  3.5021e-04  1.8632e+05  1.8637e+05
aspekawa	 F_As	 24052	     34	   60.5	    642	-1.8521	  8.5138e-01  1.9618e+01  3.5548e+01  4.4195e+00  8.7417e+00  7.8518e+01  1.6168e+00  4.4655e-04  2.0515e+05  2.0521e+05
aspenidu	 F_As	 23489	     16	   59.4	    541	-1.9745	  7.0446e-01  2.8608e+01  2.4537e+01  3.2698e+00 -1.2650e+02  1.8359e+02  7.5163e+00  1.9310e-01 -2.1414e+02  3.7956e+02  4.3636e+00  4.4502e-04  2.1368e+05  2.1377e+05
aspenige	 F_As	 27626	     17	   62.5	   1005	-2.0312	  7.1794e-01  2.4737e+01  3.1246e+01  3.6669e+00 -8.0099e+00  8.4172e+01  1.6173e+00  2.6837e-04  2.5841e+05  2.5846e+05
aspenovo	 F_As	 31549	     16	   59.7	   1135	-1.9810	  1.9988e-01  1.2949e+01  2.6434e+01  9.8502e-01  3.4148e+01  2.1882e+01  2.3493e+00  7.1826e-04  2.8736e+05  2.8742e+05
aspeochr	 F_As	 23667	     16	   65.9	   1014	-2.0216	  8.6493e-01  3.4308e+01  2.5531e+01  2.2341e+00 -5.0748e+00  7.7104e+01  1.2899e+00  3.2443e-04  2.2026e+05  2.2032e+05
aspeoryz	 F_As	 23238	     16	   62.0	   1915	-2.0499	  7.3731e-01  2.9396e+01  2.6740e+01  3.3816e+00 -4.0570e+00  8.4008e+01  1.2632e+00  3.2842e-04  2.1926e+05  2.1932e+05
aspestey	 F_As	 32267	     16	   62.2	    774	-1.9439	  8.1932e-01  2.3752e+01  3.2518e+01  3.5903e+00 -7.1609e+00  8.7893e+01  1.6368e+00  2.5051e-04  2.8887e+05  2.8893e+05
aspesydo	 F_As	 34395	     16	   59.4	    663	-1.8797	  8.4467e-01  2.2422e+01  3.2086e+01  3.9604e+00 -1.8964e+01  9.7103e+01  1.7553e+00  2.9124e-04  2.9770e+05  2.9776e+05
aspeterr	 F_As	 32	     17	   80.0	    587	-2.4188	  1.0000e+00 -1.2055e+02  1.9446e+02  4.1006e+00  2.9488e-02  3.6270e+02  3.6710e+02
aspetubi	 F_As	 31886	     16	   62.4	    770	-1.9651	  8.3382e-01  2.8762e+01  2.7604e+01  2.9537e+00 -2.6659e+01  1.1206e+02  1.7837e+00  3.0484e-04  2.8853e+05  2.8859e+05
aspevers	 F_As	 32823	     16	   57.9	    596	-1.8470	  8.6785e-01  1.9941e+01  3.3088e+01  4.2009e+00 -3.1001e+01  1.1793e+02  1.9493e+00  3.6803e-04  2.7919e+05  2.7925e+05
aspewent	 F_As	 30844	     16	   57.3	    630	-1.8578	  8.4772e-01  1.6931e+01  3.5277e+01  4.5885e+00 -1.8699e+01  1.0789e+02  1.8949e+00  4.1978e-04  2.6390e+05  2.6396e+05
aspezona	 F_As	 21626	     17	   63.7	    738	-1.9067	  8.3781e-01 -6.7148e+01  1.2556e+02  1.3472e+01 -1.2918e+01  9.0483e+01  1.6366e+00  3.2906e-04  1.8985e+05  1.8991e+05
astespec	 P_Ch	 41947	     18	  272.0	   1331	-2.8350	  2.0053e-01  5.2770e+01  3.1445e+01  1.5076e+00 -6.3872e+02  9.0746e+02  6.7528e+00  1.6943e-04  5.4762e+05  5.4768e+05
astymexi	 M_Fs	 198633	     30	  881.0	  68724	-3.6399	  6.8619e-02  6.7405e+01  3.0440e+01  1.9412e+00  5.3038e+01  6.7352e+01  1.4816e+00  2.0818e-01 -1.3541e+02  1.1034e+03  1.2029e+00  2.0809e-05  3.3319e+06  3.3320e+06
atharosa	 M_In	 69737	     16	  109.4	  36877	-2.7859	  5.5380e-01 -5.2450e+01  1.3231e+02  8.8132e+00  6.2051e+00  2.3424e+02  1.0356e+00  4.0083e-01  5.8137e+02  2.1511e+03  9.6433e-01  1.0685e-04  8.9457e+05  8.9467e+05
atraspec	 F_Ba	 81618	     16	   54.3	   1583	-1.7659	  8.4848e-01  2.0502e+01  3.0419e+01  5.6956e+00  4.3728e+00  6.8743e+01  1.0685e+00  1.4399e-01  3.3702e+01  2.9840e+02  3.3812e+00  1.8119e-04  6.6365e+05  6.6375e+05
attaceph	 M_In	 58562	     29	  224.4	  71437	-3.1593	  2.9159e-01 -3.2770e+01  1.1104e+02  8.6083e+00  1.3444e+01  2.5039e+02  9.3559e-01  6.7120e-01  6.4494e+02  2.1199e+03  8.8673e-01  6.6227e-05  8.5236e+05  8.5246e+05
aulohede	 F_As	 23731	     17	   59.2	    721	-1.9773	  6.3055e-01  3.1627e+01  2.0689e+01  4.0528e+00 -2.3280e+02  3.1088e+02  9.7067e+00  3.0336e-01 -6.7115e+01  3.0020e+02  2.6359e+00  3.4252e-04  2.1607e+05  2.1616e+05
auralima	 O_St	 2888	     24	  196.2	  32868	-2.9405	  1.1192e-01  2.2120e+01  6.4811e+01  4.9670e-01 -1.6739e+02  2.5903e+02  9.4040e+00  2.6752e-01 -6.2474e+01  2.9012e+02  2.0481e+00  6.3988e-04  3.9114e+04  3.9179e+04
aureanop	 O_St	 16948	     16	  129.7	  29108	-2.7483	  9.2919e-02  1.3545e+01  2.4284e+01  9.5398e-01  3.4644e+01  4.3973e+01  7.8158e-01  7.8556e-01 -3.8425e+01  2.3781e+02  1.9684e+01  7.6935e-04  2.1529e+05  2.1537e+05
